state,city,place,vibe_all,total_estimated_cost_per_person_per_day,group_suitability_score,rating,distance_from_major_city,ideal_stay_duration_days,recommended_for_groups,famous_food,best_season,popularity_score,activities,why_recommended
Maharashtra,Mumbai,Gateway of India,"beach, heritage, landmark",1500,8.7,4.6,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Oct-Mar,95,"Sightseeing, Photography, Boat rides",Iconic landmark with sea views and ferry point
Maharashtra,Mumbai,Marine Drive,"relax, scenic, urban",800,9.2,4.7,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,98,"Walking, Sunset watching, Jogging",Beautiful sea-facing promenade
Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Terminus (CSMT),"architecture, heritage",600,8.5,4.5,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Oct-Mar,90,"Photography, Museum visit",UNESCO World Heritage railway station
Maharashtra,Mumbai,Haji Ali Dargah,"beach, cultural, spiritual",700,8.2,4.4,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,85,"Devotional visit, Photography",Located on an islet with beautiful causeway
Maharashtra,Mumbai,Sanjay Gandhi National Park,"adventure, nature, wildlife",1200,8.9,4.6,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,92,"Trekking, Boating, Wildlife spotting",Large natural reserve inside the city
Maharashtra,Mumbai,Nehru Planetarium,"educational, family, science",500,8.0,4.3,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Aug-Feb,80,"Astronomy shows, Exhibitions",Great for students and science enthusiasts
Maharashtra,Mumbai,Juhu Beach,"beach, relax, social",700,9.1,4.6,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,96,"Beach walks, Street food, Photography",Most vibrant beach with street snacks
Maharashtra,Mumbai,Bandra Bandstand,"romantic, scenic, urban",900,9.0,4.7,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Oct-Mar,94,"Walking, Photography, Sea views",Celebrity homes & beautiful seaside
Maharashtra,Mumbai,Carter Road,"cafe culture, scenic, trendy",1200,8.8,4.5,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,90,"Jogging, Cafes, Hangouts",Youth hotspot with cafes & sea-view promenade
Maharashtra,Mumbai,Film City Goregaon,"bollywood, cultural, entertainment",1500,8.6,4.4,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Oct-Mar,88,"Studio tour, Photography",Hub of Bollywood film production
Maharashtra,Mumbai,Powai Lake,"peaceful, scenic, urban nature",600,8.7,4.5,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,87,"Photography, Boating, Walks",Beautiful lakeside with greenery
Maharashtra,Mumbai,Aksa Beach,"beach, calm, nature",500,8.4,4.3,0,1.0,Yes,"Vada Pav, Pav Bhaji, Bombay Sandwich",Nov-Feb,82,"Beach walks, Relaxing",Quiet and less crowded beach
Maharashtra,Thane,Upvan Lake,"nature, peaceful, scenic",500,8.8,4.5,0,1.0,Yes,Local cuisine popular in Thane,Nov-Feb,90,"Lake walks, Photography, Relaxing",Beautiful lakeside with Yeoor Hills view
Maharashtra,Thane,Masunda Lake (Talao Pali),"relax, scenic, urban",600,8.6,4.4,0,1.0,Yes,Local cuisine popular in Thane,Nov-Feb,88,"Boating, Street food, Evening walks",Popular local hangout spot
Maharashtra,Navi Mumbai,Nerul Parsik Hills,"adventure, nature, scenic",900,8.5,4.4,0,1.0,Yes,Local cuisine popular in Navi Mumbai,Oct-Mar,84,"Trekking, Photography",Great city views & serene environment
Maharashtra,Kalyan,Durgadi Fort,"cultural, heritage",400,8.3,4.2,0,1.0,Yes,Local cuisine popular in Kalyan,Oct-Mar,80,"Fort visit, Photography",Important fort in Maratha history
Maharashtra,Vasai-Virar,Vasai Fort,"beach, heritage, photography",300,8.9,4.6,0,1.0,Yes,Local cuisine popular in Vasai-Virar,Nov-Feb,92,"Exploring ruins, Photography",Popular Portuguese-era fort by the sea
Maharashtra,Navi Mumbai,ISKCON Temple Kharghar,"cultural, peaceful, spiritual",500,8.4,4.3,0,1.0,Yes,Local cuisine popular in Navi Mumbai,Nov-Feb,85,"Meditation, Devotional activities",Popular spiritual and architectural site
Maharashtra,Palghar,Kelva Beach,"beach, calm, relax",500,8.7,4.4,0,1.0,Yes,Local cuisine popular in Palghar,Nov-Feb,88,"Beach walks, Photography",Clean peaceful beach ideal for weekend trips
Maharashtra,Dahanu,Dahanu Beach,"beach, nature, peaceful",600,8.9,4.5,0,1.0,Yes,Local cuisine popular in Dahanu,Nov-Feb,90,"Cycling, Relaxation, Photography",Long serene beach lined with chikoo farms
Maharashtra,Vasai-Virar,Vasai Fort,"beach, heritage, photography",300,9.0,4.6,0,1.0,Yes,Local cuisine popular in Vasai-Virar,Nov-Feb,92,"Exploring ruins, Photography",Famous Portuguese fort by the sea
Maharashtra,Jawhar,Jawhar Hill Station,"hill station, nature, scenic",1200,9.1,4.6,0,2.0,Yes,Local cuisine popular in Jawhar,Aug-Feb,94,"Sightseeing, Trekking, Photography","Green valleys and waterfalls, perfect monsoon spot"
Maharashtra,Wada,Kohoj Fort,"adventure, nature, trek",400,8.2,4.2,0,1.0,Yes,Local cuisine popular in Wada,Oct-Mar,82,"Trekking, Photography",Popular medium-level trek with lake views
